article_title,country,population,region,revision_id,article_quality
Miloš Vukašinović,Bosnia Herzegovina,3.4,SOUTHERN EUROPE,53593269,Start
Philip Matante,Botswana,2.7,SOUTHERN AFRICA,70055385,Stub
Leetile Disang Raditladi,Botswana,2.7,SOUTHERN AFRICA,25278509,Stub
Patrick van Rensburg,Botswana,2.7,SOUTHERN AFRICA,4813114,B
Tobias de Aguiar,Brazil,204.0,SOUTH AMERICA,47913896,B
Medeiros e Albuquerque,Brazil,204.0,SOUTH AMERICA,29498336,B
Léo de Almeida Neves,Brazil,204.0,SOUTH AMERICA,65842709,B
Antônio Pinto Chichorro da Gama,Brazil,204.0,SOUTH AMERICA,69963754,Start
Cipriano Barata,Brazil,204.0,SOUTH AMERICA,35614690,B
Jader Barbalho Filho,Brazil,204.0,SOUTH AMERICA,72741439,Stub
Irani Barbosa,Brazil,204.0,SOUTH AMERICA,66240766,B
Djalma Bastos de Morais,Brazil,204.0,SOUTH AMERICA,66239008,Stub
"Henrique de Beaurepaire-Rohan, Viscount of Beaurepaire-Rohan",Brazil,204.0,SOUTH AMERICA,51003927,Start
Natália Bastos Bonavides,Brazil,204.0,SOUTH AMERICA,68911577,B
Marcos Braz,Brazil,204.0,SOUTH AMERICA,75781292,B
Amador Bueno,Brazil,204.0,SOUTH AMERICA,17964573,B
Maurício Campos de Medeiros,Brazil,204.0,SOUTH AMERICA,74075012,B
Marcelo Cecé,Brazil,204.0,SOUTH AMERICA,75957816,B
Izolda Cela,Brazil,204.0,SOUTH AMERICA,70452656,Stub
Margarete Coelho,Brazil,204.0,SOUTH AMERICA,63148307,Start
Paulo Corrêa,Brazil,204.0,SOUTH AMERICA,72657835,B
Miguel Couto,Brazil,204.0,SOUTH AMERICA,66181196,Stub
João Cunha (politician),Brazil,204.0,SOUTH AMERICA,66013643,Start
"Manuel Jacinto Nogueira da Gama, Marquis of Baependi",Brazil,204.0,SOUTH AMERICA,72791179,Stub
Aécio de Borba,Brazil,204.0,SOUTH AMERICA,67203315,B
José Abílio Silva de Santana,Brazil,204.0,SOUTH AMERICA,71090366,Start
Alércio Dias,Brazil,204.0,SOUTH AMERICA,65286665,B
Délio dos Santos,Brazil,204.0,SOUTH AMERICA,65286685,Start
Ademar Frederico Duwe,Brazil,204.0,SOUTH AMERICA,67123487,B
Paulo Cesar Farias,Brazil,204.0,SOUTH AMERICA,1875713,B
Emília Fernandes,Brazil,204.0,SOUTH AMERICA,63048740,Stub
José Carlos da Silva Mayrink Ferrão,Brazil,204.0,SOUTH AMERICA,38451600,Start
Juscelino Filho,Brazil,204.0,SOUTH AMERICA,72732604,B
Pedro Paulino de Fonseca,Brazil,204.0,SOUTH AMERICA,76497274,C
Francisco Julião,Brazil,204.0,SOUTH AMERICA,67168843,B
Jofran Frejat,Brazil,204.0,SOUTH AMERICA,66013562,Start
Almir Gabriel,Brazil,204.0,SOUTH AMERICA,75642528,FA
Joaquim Gomes de Souza,Brazil,204.0,SOUTH AMERICA,47375779,B
Abdul Hamid Sebba,Brazil,204.0,SOUTH AMERICA,67354580,B
José Carlos Barbosa,Brazil,204.0,SOUTH AMERICA,72150472,Start
José Eriberto Medeiros,Brazil,204.0,SOUTH AMERICA,76806440,Stub
Camila Jourdan,Brazil,204.0,SOUTH AMERICA,77610876,Start
Jutahy Júnior,Brazil,204.0,SOUTH AMERICA,63683403,Stub
Joaquim Gonçalves Ledo,Brazil,204.0,SOUTH AMERICA,41974346,Stub
Antônio Leite Andrade,Brazil,204.0,SOUTH AMERICA,65043622,Start
Ronaldo Lessa,Brazil,204.0,SOUTH AMERICA,76431103,B
Vinicius Lummertz,Brazil,204.0,SOUTH AMERICA,77044540,B
Londres Machado,Brazil,204.0,SOUTH AMERICA,72480352,Start
Alceste Madeira,Brazil,204.0,SOUTH AMERICA,69520355,B
Beto Mansur,Brazil,204.0,SOUTH AMERICA,50535378,Start
Pablo Marçal,Brazil,204.0,SOUTH AMERICA,77588336,Stub
Horácio de Matos,Brazil,204.0,SOUTH AMERICA,21747189,Start
Sandra Meira Starling,Brazil,204.0,SOUTH AMERICA,69546875,Start
Gerardo Melo Mourão,Brazil,204.0,SOUTH AMERICA,71173736,B
Murilo Melo Filho,Brazil,204.0,SOUTH AMERICA,64096804,Stub
Cândido Mendes de Almeida,Brazil,204.0,SOUTH AMERICA,42007622,B
Gilmar Mendes,Brazil,204.0,SOUTH AMERICA,17703767,B
Claudio Modesto,Brazil,204.0,SOUTH AMERICA,53097586,B
Carlos Eduardo Moreira Ferreira,Brazil,204.0,SOUTH AMERICA,70689457,Start
José Múcio,Brazil,204.0,SOUTH AMERICA,72475571,Stub
Pedro Soares Muñoz,Brazil,204.0,SOUTH AMERICA,59268356,Start
Paulo Nani,Brazil,204.0,SOUTH AMERICA,74911067,B
Dora Nascimento,Brazil,204.0,SOUTH AMERICA,55822833,Start
Carlos Neder,Brazil,204.0,SOUTH AMERICA,68911361,B
Domingos Gomes de Aguiar Neto,Brazil,204.0,SOUTH AMERICA,71090496,Start
"Manuel Luís Osório, Marquis of Erval",Brazil,204.0,SOUTH AMERICA,23502995,Stub
Hildebrando Pascoal,Brazil,204.0,SOUTH AMERICA,47681745,B
Astrojildo Pereira,Brazil,204.0,SOUTH AMERICA,34237568,B
Joaquim Alvaro Pereira Leite,Brazil,204.0,SOUTH AMERICA,68178303,B
Francisco José Pinheiro,Brazil,204.0,SOUTH AMERICA,20129067,Start
Mario Pinotti,Brazil,204.0,SOUTH AMERICA,52524856,Stub
Henrique Pizzolato,Brazil,204.0,SOUTH AMERICA,41102505,Stub
Plínio de Arruda Sampaio Jr.,Brazil,204.0,SOUTH AMERICA,66906083,B
Marcio Pochmann,Brazil,204.0,SOUTH AMERICA,76411972,B
Presidency of Castelo Branco,Brazil,204.0,SOUTH AMERICA,76015848,B
Presidency of Eurico Gaspar Dutra,Brazil,204.0,SOUTH AMERICA,75208094,B
Presidency of Fernando Henrique Cardoso,Brazil,204.0,SOUTH AMERICA,75790760,Start
Presidency of Itamar Franco,Brazil,204.0,SOUTH AMERICA,76018021,C
Presidency of Juscelino Kubitschek,Brazil,204.0,SOUTH AMERICA,76008579,B
Irondi Pugliesi,Brazil,204.0,SOUTH AMERICA,67388135,Stub
Eusébio de Queirós,Brazil,204.0,SOUTH AMERICA,60493716,Stub
Marco Antonio Raupp,Brazil,204.0,SOUTH AMERICA,68316618,Stub
Renan Contar,Brazil,204.0,SOUTH AMERICA,72075029,B
Robert Rey (plastic surgeon),Brazil,204.0,SOUTH AMERICA,55858857,B
José Richa,Brazil,204.0,SOUTH AMERICA,75709124,Stub
Ary Rigo,Brazil,204.0,SOUTH AMERICA,68911166,Start
Eduardo Rocha,Brazil,204.0,SOUTH AMERICA,72670274,Stub
Betinho Rosado,Brazil,204.0,SOUTH AMERICA,76606808,B
Rosana Martinelli,Brazil,204.0,SOUTH AMERICA,77152159,B
Antônio Ricardo dos Santos,Brazil,204.0,SOUTH AMERICA,44402718,Start
Augusto Severo de Albuquerque Maranhão,Brazil,204.0,SOUTH AMERICA,52080779,B
"José Manuel da Silva, Baron of Tietê",Brazil,204.0,SOUTH AMERICA,36524914,B
Fabiano Silveira,Brazil,204.0,SOUTH AMERICA,50663800,B
Vittorio Sorotiuk,Brazil,204.0,SOUTH AMERICA,76439634,B
Jose de Sousa Campos,Brazil,204.0,SOUTH AMERICA,26274355,Stub
"Irineu Evangelista de Sousa, Viscount of Mauá",Brazil,204.0,SOUTH AMERICA,21761407,Stub
"João Cardoso de Meneses e Sousa, Baron of Paranapiacaba",Brazil,204.0,SOUTH AMERICA,28873369,Start
Aureliano Cândido Tavares Bastos,Brazil,204.0,SOUTH AMERICA,51407589,B
Juarez Távora (general),Brazil,204.0,SOUTH AMERICA,69092697,Stub
"Antônio de Queirós Teles, Baron of Jundiaí",Brazil,204.0,SOUTH AMERICA,18981850,Stub
Nelson Trad Filho,Brazil,204.0,SOUTH AMERICA,72494987,B
Evaristo da Veiga,Brazil,204.0,SOUTH AMERICA,48683002,B
Luís Viana Neto,Brazil,204.0,SOUTH AMERICA,63712758,Start
Augusto Ximeno de Villeroy,Brazil,204.0,SOUTH AMERICA,76497329,Start
André Zacharow,Brazil,204.0,SOUTH AMERICA,68709452,B
Murilo Zauith,Brazil,204.0,SOUTH AMERICA,72328630,Start
Zeca do PT,Brazil,204.0,SOUTH AMERICA,72478099,B
Aleksandar Alekov,Bulgaria,6.4,EASTERN EUROPE,42890886,B
Anyu Angelov,Bulgaria,6.4,EASTERN EUROPE,26094532,Stub
Atanas Zapryanov,Bulgaria,6.4,EASTERN EUROPE,77655476,Start
Atanas Atanasov (politician born 1990),Bulgaria,6.4,EASTERN EUROPE,75644126,B
Atanas Atanasov (politician),Bulgaria,6.4,EASTERN EUROPE,68529982,Start
Hristo Atanassov,Bulgaria,6.4,EASTERN EUROPE,27441313,B
Jonas Basanavičius,Bulgaria,6.4,EASTERN EUROPE,2534771,Stub
Tsvetko Boboshevski,Bulgaria,6.4,EASTERN EUROPE,39708562,B
Alexander Bogoridi,Bulgaria,6.4,EASTERN EUROPE,3844100,Start
Chairman (President) of Bulgaria,Bulgaria,6.4,EASTERN EUROPE,42083644,Stub
Dzhevdet Chakarov,Bulgaria,6.4,EASTERN EUROPE,76177970,B
Vasil Chichibaba,Bulgaria,6.4,EASTERN EUROPE,63797127,B
Lea Cohen,Bulgaria,6.4,EASTERN EUROPE,74844036,Stub
Vladimir Damgov,Bulgaria,6.4,EASTERN EUROPE,6167858,Start
Stanislav Daskalov,Bulgaria,6.4,EASTERN EUROPE,76427511,Start
Stefan Dimitrov (politician),Bulgaria,6.4,EASTERN EUROPE,76759303,B
Ivan Dimov (scientist),Bulgaria,6.4,EASTERN EUROPE,55235957,Start
Valentin Fortunov,Bulgaria,6.4,EASTERN EUROPE,26752200,B
Tsoncho Ganev,Bulgaria,6.4,EASTERN EUROPE,75727358,B
Georgi Gvozdeykov,Bulgaria,6.4,EASTERN EUROPE,76560292,Stub
Goritsa Grancharova,Bulgaria,6.4,EASTERN EUROPE,77582133,Stub
Ivancho Hadzhipenchovich,Bulgaria,6.4,EASTERN EUROPE,68007392,Stub
Ivan Demerdzhiev,Bulgaria,6.4,EASTERN EUROPE,75641923,B
Aleksi Ivanov,Bulgaria,6.4,EASTERN EUROPE,30667704,B
Grozdan Karadzhov,Bulgaria,6.4,EASTERN EUROPE,69540464,Stub
Vladimir Karolev,Bulgaria,6.4,EASTERN EUROPE,69106615,B
Georgi Kirkov,Bulgaria,6.4,EASTERN EUROPE,51105599,B
Spiro Kitinchev,Bulgaria,6.4,EASTERN EUROPE,59461786,Stub
Ivan Kondov,Bulgaria,6.4,EASTERN EUROPE,75706254,Start
Kostadin Kostadinov (professor),Bulgaria,6.4,EASTERN EUROPE,67749957,Start
Gavril Krastevich,Bulgaria,6.4,EASTERN EUROPE,17357948,Stub
Petar Kulenski,Bulgaria,6.4,EASTERN EUROPE,75984506,B
Lazar Lazarov,Bulgaria,6.4,EASTERN EUROPE,76224027,B
Nikola Lazarov,Bulgaria,6.4,EASTERN EUROPE,26458488,Start
Ivan Marazov,Bulgaria,6.4,EASTERN EUROPE,41068783,Stub
Venko Markovski,Bulgaria,6.4,EASTERN EUROPE,6310653,Start
Yakov Matakiev,Bulgaria,6.4,EASTERN EUROPE,73178865,B
Ilian Mihov,Bulgaria,6.4,EASTERN EUROPE,40389381,B
Raya Nazaryan,Bulgaria,6.4,EASTERN EUROPE,77223719,Stub
Nikolay Milkov,Bulgaria,6.4,EASTERN EUROPE,72236883,B
Plamen Panayotov,Bulgaria,6.4,EASTERN EUROPE,44913470,Stub
Vladislav Panev,Bulgaria,6.4,EASTERN EUROPE,69026643,Stub
Asparuh Panov,Bulgaria,6.4,EASTERN EUROPE,31816242,Start
Atanas Pekanov,Bulgaria,6.4,EASTERN EUROPE,73760592,Start
Sasho Penov,Bulgaria,6.4,EASTERN EUROPE,75933759,B
Lyudmila Petkova,Bulgaria,6.4,EASTERN EUROPE,77629250,B
Hristo Petrov,Bulgaria,6.4,EASTERN EUROPE,77140787,Stub
Rosen Plevneliev,Bulgaria,6.4,EASTERN EUROPE,27881798,B
Aleksandur Pulev,Bulgaria,6.4,EASTERN EUROPE,75672141,Stub
Denitsa Simeonova,Bulgaria,6.4,EASTERN EUROPE,75912589,Stub
Ivan Stanchov,Bulgaria,6.4,EASTERN EUROPE,69359753,Stub
Kalin Stoyanov,Bulgaria,6.4,EASTERN EUROPE,77668210,B
Stanislav Stoyanov (politician),Bulgaria,6.4,EASTERN EUROPE,76629669,B
Dragomir Stoynev,Bulgaria,6.4,EASTERN EUROPE,75850053,Stub
Teodora Genchovska,Bulgaria,6.4,EASTERN EUROPE,76439342,B
Daniel Valchev,Bulgaria,6.4,EASTERN EUROPE,77027494,B
Krasimir Valchev,Bulgaria,6.4,EASTERN EUROPE,75695319,B
Velko Valkanov,Bulgaria,6.4,EASTERN EUROPE,51510412,Start
Ventsislav Varbanov,Bulgaria,6.4,EASTERN EUROPE,44475086,Start
Damyan Velchev,Bulgaria,6.4,EASTERN EUROPE,501726,Start
Svetoslav Vitkov,Bulgaria,6.4,EASTERN EUROPE,40142744,B
Mincho Yovchev,Bulgaria,6.4,EASTERN EUROPE,66033960,B
Atanas Zafirov,Bulgaria,6.4,EASTERN EUROPE,77603614,Start
Martin Zaimov,Bulgaria,6.4,EASTERN EUROPE,23535390,Start
Dragomir Zakov,Bulgaria,6.4,EASTERN EUROPE,70525717,Stub
Nayden Zelenogorski,Bulgaria,6.4,EASTERN EUROPE,15616336,B
Boureima Badini,Burkina Faso,22.9,WESTERN AFRICA,18238207,B
Blaise Bassoleth,Burkina Faso,22.9,WESTERN AFRICA,31866364,B
Nazi Boni,Burkina Faso,22.9,WESTERN AFRICA,17637387,B
Eric Bougouma,Burkina Faso,22.9,WESTERN AFRICA,76509943,Stub
François Compaoré,Burkina Faso,22.9,WESTERN AFRICA,36970146,Start
Daniel Ouezzin Coulibaly,Burkina Faso,22.9,WESTERN AFRICA,4947057,Stub
Toubé Clément Dakio,Burkina Faso,22.9,WESTERN AFRICA,3262352,Start
Frédéric Guirma,Burkina Faso,22.9,WESTERN AFRICA,12140791,B
Emile Ilboudo,Burkina Faso,22.9,WESTERN AFRICA,18238747,Start
Zinda Kaboré,Burkina Faso,22.9,WESTERN AFRICA,31680118,B
Christophe Kalenzaga,Burkina Faso,22.9,WESTERN AFRICA,31866529,B
Joséphine Drabo Kanyoulou,Burkina Faso,22.9,WESTERN AFRICA,73001312,Start
Joséphine Ki-Zerbo,Burkina Faso,22.9,WESTERN AFRICA,63372865,Start
Begnon-Damien Koné,Burkina Faso,22.9,WESTERN AFRICA,31865797,B
Yabre Juliette Kongo,Burkina Faso,22.9,WESTERN AFRICA,76438645,Start
Kouamé Lougué,Burkina Faso,22.9,WESTERN AFRICA,44255928,B
Jean-Baptiste Natama,Burkina Faso,22.9,WESTERN AFRICA,48680645,B
Jean-Baptiste Ouédraogo,Burkina Faso,22.9,WESTERN AFRICA,289576,Stub
Mamadou Ouédraogo,Burkina Faso,22.9,WESTERN AFRICA,25772545,Stub
Ousmane Bougouma,Burkina Faso,22.9,WESTERN AFRICA,76471596,B
Pargui Emile Paré,Burkina Faso,22.9,WESTERN AFRICA,3262438,Stub
Filippe Savadogo,Burkina Faso,22.9,WESTERN AFRICA,50723173,Stub
Nouhoun Sigue,Burkina Faso,22.9,WESTERN AFRICA,31871745,B
Diongolo Traore,Burkina Faso,22.9,WESTERN AFRICA,31841535,Start
Maurice Yaméogo,Burkina Faso,22.9,WESTERN AFRICA,401012,Stub
Saye Zerbo,Burkina Faso,22.9,WESTERN AFRICA,289582,Stub
Aung Than Oo,Myanmar,55.4,SOUTHEAST ASIA,74382650,C
Aye Ko (artist),Myanmar,55.4,SOUTHEAST ASIA,61638290,Start
Ba Shin,Myanmar,55.4,SOUTHEAST ASIA,10908434,B
Bao Youxiang,Myanmar,55.4,SOUTHEAST ASIA,48742263,B
Bawk Ja,Myanmar,55.4,SOUTHEAST ASIA,42020379,Start
Cheery Zahau,Myanmar,55.4,SOUTHEAST ASIA,55691357,B
Oscar de Glanville,Myanmar,55.4,SOUTHEAST ASIA,68328990,Stub
M. A. Gaffar,Myanmar,55.4,SOUTHEAST ASIA,55135666,C
Han Tha Myint,Myanmar,55.4,SOUTHEAST ASIA,47241596,Start
Hla Maung Shwe,Myanmar,55.4,SOUTHEAST ASIA,56311126,B
Hso Khan Pha,Myanmar,55.4,SOUTHEAST ASIA,974702,Stub
Nai Htaw Sorn,Myanmar,55.4,SOUTHEAST ASIA,1831147,Stub
Htay Aung (businessman),Myanmar,55.4,SOUTHEAST ASIA,71530040,B
Htin Linn Aung,Myanmar,55.4,SOUTHEAST ASIA,66931291,Stub
Ja Htoi Pan,Myanmar,55.4,SOUTHEAST ASIA,67477442,Stub
Khin Kyaw Han,Myanmar,55.4,SOUTHEAST ASIA,18578060,Start
Khin Ma Ma Myo,Myanmar,55.4,SOUTHEAST ASIA,68479419,B
Khin Maung Swe,Myanmar,55.4,SOUTHEAST ASIA,31087838,Stub
Khun San Lwin,Myanmar,55.4,SOUTHEAST ASIA,43092884,B
Ko Ni,Myanmar,55.4,SOUTHEAST ASIA,53021145,B
Thakin Kodaw Hmaing,Myanmar,55.4,SOUTHEAST ASIA,9863457,Start
Kwe Te No,Myanmar,55.4,SOUTHEAST ASIA,66932882,Stub
Sao Kya Seng,Myanmar,55.4,SOUTHEAST ASIA,48937786,B
Kyaw Moe Tun,Myanmar,55.4,SOUTHEAST ASIA,66913798,B
Kyaw Myint,Myanmar,55.4,SOUTHEAST ASIA,-1,
Kyaw Tun,Myanmar,55.4,SOUTHEAST ASIA,43015578,Start
Kyaw Zaw Oo,Myanmar,55.4,SOUTHEAST ASIA,66173064,Start
Duwa Lashi La,Myanmar,55.4,SOUTHEAST ASIA,67447672,B
Lian Hmung Sakhong,Myanmar,55.4,SOUTHEAST ASIA,67485956,B
Sultan Mahmud (minister),Myanmar,55.4,SOUTHEAST ASIA,55136289,Start
Maran Brang Seng,Myanmar,55.4,SOUTHEAST ASIA,12270990,Stub
Gani Markan,Myanmar,55.4,SOUTHEAST ASIA,55137080,Stub
Maw Htun Aung,Myanmar,55.4,SOUTHEAST ASIA,69188782,Start
"Myint Swe (politician, born 1965)",Myanmar,55.4,SOUTHEAST ASIA,58329282,B
Myo Yan Naung Thein,Myanmar,55.4,SOUTHEAST ASIA,66805229,Start
Naw Ohn Hla,Myanmar,55.4,SOUTHEAST ASIA,56317793,Stub
Nay Myo Wai,Myanmar,55.4,SOUTHEAST ASIA,51745222,B
Nay Zin Lat,Myanmar,55.4,SOUTHEAST ASIA,47330782,Start
Kyaw Ni,Myanmar,55.4,SOUTHEAST ASIA,68230960,B
Nyi Sein,Myanmar,55.4,SOUTHEAST ASIA,58521779,B
Nyo Nyo Thin,Myanmar,55.4,SOUTHEAST ASIA,48487481,B
Pu Pa Thang,Myanmar,55.4,SOUTHEAST ASIA,76127047,B
San Tun,Myanmar,55.4,SOUTHEAST ASIA,47241961,Stub
Sao Sanda,Myanmar,55.4,SOUTHEAST ASIA,72412769,Stub
Sasa (politician),Myanmar,55.4,SOUTHEAST ASIA,66872760,B
Saw Sa,Myanmar,55.4,SOUTHEAST ASIA,62278621,B
Saya Gyi U Nu,Myanmar,55.4,SOUTHEAST ASIA,26147714,B
"Sein Win (politician, born 1944)",Myanmar,55.4,SOUTHEAST ASIA,9467217,Start
Mya Lay Sein,Myanmar,55.4,SOUTHEAST ASIA,58182818,Stub
Sao Seng Suk,Myanmar,55.4,SOUTHEAST ASIA,12816967,B
Shwe Ohn,Myanmar,55.4,SOUTHEAST ASIA,35402666,Start
Soe Moe Hlaing,Myanmar,55.4,SOUTHEAST ASIA,67926878,B
Sultan Ahmed (Burmese politician),Myanmar,55.4,SOUTHEAST ASIA,55137194,FA
Naw Susanna Hla Hla Soe,Myanmar,55.4,SOUTHEAST ASIA,67493858,Stub
Tan Yu Sai,Myanmar,55.4,SOUTHEAST ASIA,47331201,Stub
Taw Phaya Galay,Myanmar,55.4,SOUTHEAST ASIA,14332899,Start
Tayzar San,Myanmar,55.4,SOUTHEAST ASIA,67910911,B
Than Nyein,Myanmar,55.4,SOUTHEAST ASIA,43197025,Start
Than Sein,Myanmar,55.4,SOUTHEAST ASIA,47241901,Stub
Than Win,Myanmar,55.4,SOUTHEAST ASIA,65976454,Start
Thaung Tun (politician),Myanmar,55.4,SOUTHEAST ASIA,67638704,B
Baganset U Thaw,Myanmar,55.4,SOUTHEAST ASIA,65956921,B
Thein Maung,Myanmar,55.4,SOUTHEAST ASIA,68647078,C
Thein Nyunt (politician),Myanmar,55.4,SOUTHEAST ASIA,66611331,B
Thet Win Aung,Myanmar,55.4,SOUTHEAST ASIA,7706564,Start
Thirty Comrades,Myanmar,55.4,SOUTHEAST ASIA,3852927,Stub
Tin Aye,Myanmar,55.4,SOUTHEAST ASIA,35480486,B
Tu Hkawng,Myanmar,55.4,SOUTHEAST ASIA,68113104,B
Wai Moe Naing,Myanmar,55.4,SOUTHEAST ASIA,67920066,Start
Win Ko Ko Latt,Myanmar,55.4,SOUTHEAST ASIA,55681817,Start
Maung Wuntha,Myanmar,55.4,SOUTHEAST ASIA,40296975,FA
Yawd Serk,Myanmar,55.4,SOUTHEAST ASIA,48284709,Start
Za Hlei Thang,Myanmar,55.4,SOUTHEAST ASIA,57617065,B
Zaw Htay,Myanmar,55.4,SOUTHEAST ASIA,55316041,Start
Zura Begum,Myanmar,55.4,SOUTHEAST ASIA,55137257,FA
Pierre Baranyanka,Burundi,13.2,EASTERN AFRICA,69671736,GA
Joseph Biroli,Burundi,13.2,EASTERN AFRICA,68663833,B
Evelyne Butoyi,Burundi,13.2,EASTERN AFRICA,76201751,C
Joseph Cimpaye,Burundi,13.2,EASTERN AFRICA,18761140,Start
Edouard Nduwimana,Burundi,13.2,EASTERN AFRICA,68178616,Start
Gervais Nyangoma,Burundi,13.2,EASTERN AFRICA,68690445,Start
Gérard Mfuranzima,Burundi,13.2,EASTERN AFRICA,52286204,B
Cyrille Ndayirukiye,Burundi,13.2,EASTERN AFRICA,46712332,Stub
Révérien Ndikuriyo,Burundi,13.2,EASTERN AFRICA,71468757,Stub
Tharcisse Niyongabo,Burundi,13.2,EASTERN AFRICA,68249082,Start
Gabriel Nizigama,Burundi,13.2,EASTERN AFRICA,64470367,Stub
Jean-Baptiste Ntidendereza,Burundi,13.2,EASTERN AFRICA,68695700,Stub
Ririkumutima,Burundi,13.2,EASTERN AFRICA,43047944,Start
Agathon Rwasa,Burundi,13.2,EASTERN AFRICA,12125280,Start
Imelde Sabushimike,Burundi,13.2,EASTERN AFRICA,68076550,Start
Alexis Sinduhije,Burundi,13.2,EASTERN AFRICA,17295805,B
Ang Vong Vathana,Cambodia,17.0,SOUTHEAST ASIA,50040955,FA
Samheng Boros,Cambodia,17.0,SOUTHEAST ASIA,75523295,Start
Bun Chanmol,Cambodia,17.0,SOUTHEAST ASIA,71693220,B
Chem Snguon,Cambodia,17.0,SOUTHEAST ASIA,60528821,Start
Chhan Sokhom,Cambodia,17.0,SOUTHEAST ASIA,60528895,B
Chuon Saodi,Cambodia,17.0,SOUTHEAST ASIA,60532005,FA
Duong Sam Ol,Cambodia,17.0,SOUTHEAST ASIA,60532120,Start
Ieu Koeus,Cambodia,17.0,SOUTHEAST ASIA,1999882,B
Ith Samheng,Cambodia,17.0,SOUTHEAST ASIA,74844026,Start
Khem Veasna,Cambodia,17.0,SOUTHEAST ASIA,41581381,B
Kou Roun,Cambodia,17.0,SOUTHEAST ASIA,60531889,Start
Daran Kravanh,Cambodia,17.0,SOUTHEAST ASIA,21422911,B
Lon Nil,Cambodia,17.0,SOUTHEAST ASIA,6964505,Start
Mao Ayuth,Cambodia,17.0,SOUTHEAST ASIA,67310518,Start
Neav Sithong,Cambodia,17.0,SOUTHEAST ASIA,60528516,B
Ngoun Chhay Kry,Cambodia,17.0,SOUTHEAST ASIA,60532142,Start
Norodom Norindeth,Cambodia,17.0,SOUTHEAST ASIA,28645941,Start
Norodom Phurissara,Cambodia,17.0,SOUTHEAST ASIA,24524902,Stub
Oung Ouen,Cambodia,17.0,SOUTHEAST ASIA,21659800,B
Phlek Chhat,Cambodia,17.0,SOUTHEAST ASIA,60531837,Stub
Ponn Vongs Vaddey,Cambodia,17.0,SOUTHEAST ASIA,60528934,B
Samheng Bora,Cambodia,17.0,SOUTHEAST ASIA,74835650,Start
Say Phouthang,Cambodia,17.0,SOUTHEAST ASIA,59823604,Start
Sisowath Youtevong,Cambodia,17.0,SOUTHEAST ASIA,41897981,Stub
So Nem,Cambodia,17.0,SOUTHEAST ASIA,60531717,B
Tep Hun,Cambodia,17.0,SOUTHEAST ASIA,60528917,B
Tep Phan,Cambodia,17.0,SOUTHEAST ASIA,60531806,Start
Tep Vattho,Cambodia,17.0,SOUTHEAST ASIA,75585070,Stub
Thiounn,Cambodia,17.0,SOUTHEAST ASIA,69472511,B
Touch Kim,Cambodia,17.0,SOUTHEAST ASIA,60532077,Start
Truong Cang,Cambodia,17.0,SOUTHEAST ASIA,61291653,Stub
Tuot Saron,Cambodia,17.0,SOUTHEAST ASIA,34191859,Start
Uch Ven,Cambodia,17.0,SOUTHEAST ASIA,60531966,Start
Uk Vithun,Cambodia,17.0,SOUTHEAST ASIA,60528545,B
Ung Hong Sath,Cambodia,17.0,SOUTHEAST ASIA,60532054,B
Veng Sakhon,Cambodia,17.0,SOUTHEAST ASIA,57531197,B
Yat Hwaidi,Cambodia,17.0,SOUTHEAST ASIA,14299847,Start
Marie Catherine Abena,Cameroon,28.1,MIDDLE AFRICA,77163245,B
Haman Adama,Cameroon,28.1,MIDDLE AFRICA,76460907,Stub
Vincent de Paul Ahanda,Cameroon,28.1,MIDDLE AFRICA,52629715,Start
Ahmadou Ahidjo,Cameroon,28.1,MIDDLE AFRICA,420766,Stub
Joseph Beti Assomo,Cameroon,28.1,MIDDLE AFRICA,76599696,Start
Charles Ateba Eyene,Cameroon,28.1,MIDDLE AFRICA,77052330,B
Olivier Bilé,Cameroon,28.1,MIDDLE AFRICA,77044223,Stub
Dsamou Micheline,Cameroon,28.1,MIDDLE AFRICA,76461069,Start
Lawrence Fonka Shang,Cameroon,28.1,MIDDLE AFRICA,57302207,Start
Victor Fotso,Cameroon,28.1,MIDDLE AFRICA,63437020,B
Séraphin Magloire Fouda,Cameroon,28.1,MIDDLE AFRICA,25382436,Start
Lucy Gwanmesia,Cameroon,28.1,MIDDLE AFRICA,76460721,B
Njomgang Isaac,Cameroon,28.1,MIDDLE AFRICA,31891579,Stub
René Jam Afane,Cameroon,28.1,MIDDLE AFRICA,77057856,Stub
Augustine Ngom Jua,Cameroon,28.1,MIDDLE AFRICA,52629737,B
Paul Monyonge Kale,Cameroon,28.1,MIDDLE AFRICA,74649657,Stub
Enanga Kebbi,Cameroon,28.1,MIDDLE AFRICA,76543435,B
Pierre Kotouo,Cameroon,28.1,MIDDLE AFRICA,31865874,Stub
Laurentine Mbede,Cameroon,28.1,MIDDLE AFRICA,76460317,B
Albert Mbida,Cameroon,28.1,MIDDLE AFRICA,77057795,Start
Ibrahim Mbombo Njoya,Cameroon,28.1,MIDDLE AFRICA,68832898,Stub
Clémentine Ananga Messina,Cameroon,28.1,MIDDLE AFRICA,76460602,Stub
Ousmane Mey,Cameroon,28.1,MIDDLE AFRICA,25065212,Stub
Victor Mukete,Cameroon,28.1,MIDDLE AFRICA,55646578,Start
Bernard Muna,Cameroon,28.1,MIDDLE AFRICA,32069883,Stub
Jerôme Mvondo,Cameroon,28.1,MIDDLE AFRICA,72599128,B
